objective,schedule,epsilon,seed,N,path_length,success
zerochain,B,0.2,8,1201,103.37535816263559,1
zerochain,B,0.2,9,801,84.7191271848091,1
zerochain,B,0.15,0,1201,103.11104764253822,1
zerochain,B,0.15,1,1601,119.2253352735596,1
zerochain,B,0.15,2,1601,119.53519748522194,1
zerochain,B,0.15,3,1601,120.28835799084568,1
zerochain,B,0.15,4,1401,110.8060656823253,1
zerochain,B,0.15,5,1001,94.33868011854534,1
zerochain,B,0.15,6,1001,93.59797134631133,1
zerochain,B,0.15,7,2201,140.41515735400426,1
zerochain,B,0.15,8,1601,119.79728854803865,1
zerochain,B,0.15,9,1201,104.42954532756488,1
zerochain,B,0.1,0,9401,296.08329545922777,1
zerochain,B,0.1,1,7001,253.6547365644768,1
zerochain,B,0.1,2,7001,254.41802707942094,1
zerochain,B,0.1,3,9401,296.55772345835055,1
zerochain,B,0.1,4,15201,376.28106888515373,1
zerochain,B,0.1,5,4201,197.14313453612627,1
zerochain,B,0.1,6,6001,235.87149407447646,1
zerochain,B,0.1,7,3401,175.89712300362285,1
zerochain,B,0.1,8,8601,283.05329570483553,1
zerochain,B,0.1,9,5001,216.24186160195487,1
zerochain,B,0.07,0,43001,637.841797208721,1
zerochain,B,0.07,1,63601,773.8661924455482,1
zerochain,B,0.07,2,61001,759.3120060991071,1
zerochain,B,0.07,3,54401,717.9269438756564,1
zerochain,B,0.07,4,48401,674.8819971676635,1
zerochain,B,0.07,5,23801,474.0927534918799,1
zerochain,B,0.07,6,40201,616.6706902067599,1
zerochain,B,0.07,7,30401,534.4538946832238,1
zerochain,B,0.07,8,14601,369.98782759320204,1
zerochain,B,0.07,9,42801,637.4470013894876,1
zerochain,B,0.05,0,164401,1248.9058610774111,1
zerochain,B,0.05,1,116001,1046.2266063559073,1
zerochain,B,0.05,2,132601,1121.0562687567594,1
zerochain,B,0.05,3,205001,1394.9661405821307,1
zerochain,B,0.05,4,280601,1630.2494832684633,1
zerochain,B,0.05,5,87001,908.2981745290515,1
zerochain,B,0.05,6,616201,2420.179216664,1
zerochain,B,0.05,7,306801,1706.1134734963102,1
zerochain,B,0.05,8,240601,1510.7195601092453,1
zerochain,B,0.05,9,57601,739.9415521922464,1
zerochain,C,0.5,0,1,0.0,1
zerochain,C,0.5,1,201,38.968794721235945,1
zerochain,C,0.5,2,201,38.605451729356055,1
zerochain,C,0.5,3,201,39.259563608152376,1
zerochain,C,0.5,4,401,61.72330457081828,1
zerochain,C,0.5,5,201,38.537467479151225,1
zerochain,C,0.5,6,201,38.59196023137603,1
zerochain,C,0.5,7,201,38.45173300314839,1
zerochain,C,0.5,8,201,39.56676583665449,1
zerochain,C,0.5,9,201,39.39180668002082,1
zerochain,C,0.3,0,801,100.12587271310386,1
zerochain,C,0.3,1,201,38.968794721235945,1
zerochain,C,0.3,2,801,99.54752308802522,1
zerochain,C,0.3,3,801,100.98188153842794,1
zerochain,C,0.3,4,401,61.72330457081828,1
zerochain,C,0.3,5,601,82.93709621772493,1
zerochain,C,0.3,6,201,38.59196023137603,1
zerochain,C,0.3,7,201,38.45173300314839,1
zerochain,C,0.3,8,401,63.85815012869137,1
zerochain,C,0.3,9,201,39.39180668002082,1
zerochain,C,0.2,0,1201,131.2268707311874,1
zerochain,C,0.2,1,401,62.62053882213247,1
zerochain,C,0.2,2,1601,158.92323506133457,1
zerochain,C,0.2,3,1201,132.35720730998628,1
zerochain,C,0.2,4,1401,144.59908284587814,1
zerochain,C,0.2,5,601,82.93709621772493,1
zerochain,C,0.2,6,601,82.15768860770123,1
zerochain,C,0.2,7,3401,262.3277803349914,1
zerochain,C,0.2,8,1601,159.22403296649412,1
zerochain,C,0.2,9,1201,132.7700370783862,1
zerochain,C,0.15,0,7001,426.3272389122666,1
zerochain,C,0.15,1,2001,183.8294582914979,1
zerochain,C,0.15,2,1601,158.92323506133457,1
zerochain,C,0.15,3,1601,159.57549069859152,1
zerochain,C,0.15,4,8601,488.036120341638,1
zerochain,C,0.15,5,1001,117.03844674972642,1
zerochain,C,0.15,6,1001,116.46566212041694,1
zerochain,C,0.15,7,3401,262.3277803349914,1
zerochain,C,0.15,8,2001,184.54292840246262,1
zerochain,C,0.15,9,5001,342.3469063198429,1
zerochain,C,0.1,0,20001,858.6788233500539,1
zerochain,C,0.1,1,19401,838.3777154639122,1
zerochain,C,0.1,2,30601,1138.418399395336,1
zerochain,C,0.1,3,54401,1670.579515371596,1
zerochain,C,0.1,4,60601,1791.1302473554558,1
zerochain,C,0.1,5,23801,964.7048948268645,1
zerochain,C,0.1,6,20601,875.656607781455,1
zerochain,C,0.1,7,34601,1233.5802743649351,1
zerochain,C,0.1,8,17001,769.8628241082313,1
zerochain,C,0.1,9,13201,652.2760452466773,1
zerochain,C,0.07,0,64801,1877.0042685476233,1
zerochain,C,0.07,1,180001,3695.4349280747974,1
zerochain,C,0.07,2,50601,1590.4011603811794,1
zerochain,C,0.07,3,90601,2344.8646714300294,1
zerochain,C,0.07,4,306801,5273.674230131234,1
zerochain,C,0.07,5,108801,2648.959384918672,1
zerochain,C,0.07,6,163601,3474.202751295948,1
zerochain,C,0.07,7,60201,1783.887896602962,1
zerochain,C,0.07,8,17001,769.8628241082313,1
zerochain,C,0.07,9,19001,831.0182241737594,1
zerochain,C,0.05,0,783801,9855.13583666101,1
zerochain,C,0.05,1,696601,9106.466670870768,1
zerochain,C,0.05,2,177001,3659.4742470150304,1
zerochain,C,0.05,3,383801,6125.9592751829305,1
zerochain,C,0.05,4,340601,5653.683286404357,1
zerochain,C,0.05,5,212601,4134.827329755547,1
zerochain,C,0.05,6,1000000,11594.985372566547,0
zerochain,C,0.05,7,443001,6739.905613329057,1
zerochain,C,0.05,8,500001,7305.458875262827,1
zerochain,C,0.05,9,19001,831.0182241737594,1
zerochain,D,0.5,0,1,0.0,1
zerochain,D,0.5,1,201,60.66105568792995,1
zerochain,D,0.5,2,201,59.41426181245283,1
zerochain,D,0.5,3,201,59.91536056272189,1
zerochain,D,0.5,4,201,58.605583128266964,1
zerochain,D,0.5,5,201,58.63167258184688,1
zerochain,D,0.5,6,201,59.869358399631395,1
zerochain,D,0.5,7,201,59.12442299482364,1
zerochain,D,0.5,8,201,59.7925770858556,1
zerochain,D,0.5,9,201,60.28376688687734,1
zerochain,D,0.3,0,401,101.58005152957534,1
zerochain,D,0.3,1,201,60.66105568792995,1
zerochain,D,0.3,2,201,59.41426181245283,1
zerochain,D,0.3,3,201,59.91536056272189,1
zerochain,D,0.3,4,401,100.80550179242627,1
zerochain,D,0.3,5,201,58.63167258184688,1
zerochain,D,0.3,6,201,59.869358399631395,1
zerochain,D,0.3,7,201,59.12442299482364,1
zerochain,D,0.3,8,201,59.7925770858556,1
zerochain,D,0.3,9,201,60.28376688687734,1
zerochain,D,0.2,0,1001,205.69930032238102,1
zerochain,D,0.2,1,601,139.74777748366358,1
zerochain,D,0.2,2,201,59.41426181245283,1
zerochain,D,0.2,3,1001,207.4221517753637,1
zerochain,D,0.2,4,401,100.80550179242627,1
zerochain,D,0.2,5,401,101.80787295345466,1
zerochain,D,0.2,6,201,59.869358399631395,1
zerochain,D,0.2,7,201,59.12442299482364,1
zerochain,D,0.2,8,601,139.9375935251587,1
zerochain,D,0.2,9,1001,208.59245964863925,1
zerochain,D,0.15,0,1201,236.85897323300938,1
zerochain,D,0.15,1,601,139.74777748366358,1
zerochain,D,0.15,2,801,172.9830248125532,1
zerochain,D,0.15,3,1401,267.357709810307,1
zerochain,D,0.15,4,1201,235.1192019464805,1
zerochain,D,0.15,5,801,174.8808261772015,1
zerochain,D,0.15,6,2401,401.6649205460177,1
zerochain,D,0.15,7,401,102.21746243974414,1
zerochain,D,0.15,8,1601,293.84091358384035,1
zerochain,D,0.15,9,1801,326.941125054494,1
zerochain,D,0.1,0,2401,400.0323169838338,1
zerochain,D,0.1,1,10801,1247.879495948782,1
zerochain,D,0.1,2,2201,375.1146944503705,1
zerochain,D,0.1,3,3001,474.6348193921777,1
zerochain,D,0.1,4,7601,957.7682260244477,1
zerochain,D,0.1,5,6401,843.1258860290641,1
zerochain,D,0.1,6,14001,1520.7068124663183,1
zerochain,D,0.1,7,3001,474.3382895575165,1
zerochain,D,0.1,8,3401,521.183502485799,1
zerochain,D,0.1,9,4801,681.2329125332667,1
zerochain,D,0.07,0,25401,2385.7602042767567,1
zerochain,D,0.07,1,63601,4748.54802233988,1
zerochain,D,0.07,2,19001,1914.9975525179918,1
zerochain,D,0.07,3,46201,3738.760188367012,1
zerochain,D,0.07,4,11001,1265.4989886887315,1
zerochain,D,0.07,5,33801,2957.594635936658,1
zerochain,D,0.07,6,19801,1976.6401078322535,1
zerochain,D,0.07,7,42801,3524.0359904399907,1
zerochain,D,0.07,8,6001,800.50213913839,1
zerochain,D,0.07,9,18201,1858.3510995280462,1
zerochain,D,0.05,0,76801,5481.935541700562,1
zerochain,D,0.05,1,308401,15549.08093464231,1
zerochain,D,0.05,2,147401,8936.181287311594,1
zerochain,D,0.05,3,103201,6839.395307652833,1
zerochain,D,0.05,4,91801,6251.744225206713,1
zerochain,D,0.05,5,33801,2957.594635936658,1
zerochain,D,0.05,6,295801,15080.616827437469,1
zerochain,D,0.05,7,88401,6082.094624571027,1
zerochain,D,0.05,8,6001,800.50213913839,1
zerochain,D,0.05,9,57601,4420.79162830692,1
sinusoid,A,0.5,0,1,0.0,1
sinusoid,A,0.5,1,201,140.5261793305776,1
sinusoid,A,0.5,2,201,137.85834806163197,1
sinusoid,A,0.5,3,1201,837.1023764983786,1
sinusoid,A,0.5,4,401,275.09214754720153,1
sinusoid,A,0.5,5,201,137.13222419868782,1
sinusoid,A,0.5,6,401,276.60247112402755,1
sinusoid,A,0.5,7,201,139.76490554299966,1
sinusoid,A,0.5,8,1,0.0,1
sinusoid,A,0.5,9,1201,839.9384757047441,1
sinusoid,A,0.3,0,1000000,697060.932027521,budget_limited
