step,last_coord
0,0.01520160770180213
500,-0.012538416866735356
1000,0.025797122269568245
1500,-0.03280115795389066
2000,0.020809442699289724
2500,0.08024442160490042
3000,-0.03252128807675877
3500,0.050459750104438025
4000,-0.020925416911772066
4500,-0.0026407256156920195
5000,0.03874807843477546
5500,0.09341285511054066
6000,-0.035494968651631216
6500,-0.044821552442919896
7000,-0.004859893701420591
7500,0.013062116834480001
8000,-0.02593124212357666
8500,-0.053351460179968946
9000,-0.08558259002230188
9500,-0.013095828176599846
10000,-0.005304139462948739
10500,-0.009057829793233312
11000,-0.0533262436065191
11500,0.1073139039973342
12000,-0.04520968960601867
12500,0.06128791728968685
13000,0.029873045429507944
13500,-0.03293820746963331
14000,0.06443581978939336
14500,0.030970281382164653
15000,-0.062119325249496905
15500,0.032051870607128635
16000,-0.016295805962829486
16500,0.013853479595096637
17000,-0.07464868438468422
17500,0.013386615880422219
18000,0.10681778590030247
18500,-0.0463605481928815
19000,0.016579864656617028
19500,-0.12026269752981913
20000,-0.003359189032164622
20500,-0.034694771395677934
21000,-0.037493600776578026
21500,-0.0008740751463516985
22000,-0.0474682153892302
22500,0.016343749959863336
23000,0.032034174556740985
23500,0.03403996583025473
24000,0.03463424777686665
24500,-0.016316724991326113
25000,-0.04555495429471255
25500,-0.013953325208025035
26000,0.015965153895549186
26500,-0.00884547835283216
27000,0.06208506825510317
27500,-0.021374413197397565
28000,0.021831156725910864
28500,-0.051224550288930526
29000,-0.004871572261069446
29500,-0.038136272599690456
30000,-0.009856079508675375
30500,0.011485526771017437
31000,-0.02247043259892789
31500,0.024591043891923306
32000,0.01991341728661225
32500,-0.023568715540106824
33000,-0.03806299171500004
33500,0.03044054980510119
34000,-0.015425855676135358
34500,-0.027714753197373886
35000,-0.0157412335154162
35500,0.008194913746089352
36000,-0.036269391872692944
36500,0.0001802469644286283
37000,-0.006329613094514958
37500,-0.04639639658671473
38000,-0.043836515150269206
38500,-0.043446223086728096
39000,0.032808165713774345
39500,-0.05407759526000219
40000,0.009073931809476923
40500,-0.043662218760262925
41000,-0.007517256452591111
41500,0.01203857831445356
42000,-0.015923625274773805
42500,-0.03167777825706843
43000,0.0391491768095742
43500,0.03033203813892573
44000,-0.00891599281236324
44500,3.0443984564533437e-05
45000,0.07768813226930389
45500,0.025220768135491196
46000,-0.016979931136790194
46500,-0.038454140203790975
47000,-0.01759298536997888
47500,-0.008346296790291394
48000,0.045713543882162415
48500,0.024770137493651322
49000,0.04549589023156941
49500,0.022063966613004984
50000,-0.019695193838088456
50500,-0.029061186932089835
51000,0.031043541849316382
51500,0.004577490690812021
52000,-0.02209974312748013
52500,0.0471775650441766
53000,0.021930948518123633
53500,0.01940976387889286
54000,0.03678136079374811
54500,-0.004182317762000961
55000,0.011257426329387213
55500,0.0013205486269712075
56000,0.009968826389285751
56500,0.02783337410027854
57000,0.04591060063665068
57500,0.010649227508650008
58000,0.044811937629417514
58500,-0.016737956821306615
59000,0.01496471601958775
59500,-0.02315090519683862
60000,-0.006112822863634237
60500,0.05982068921296164
61000,0.017158776303304694
61500,0.049240905928697794
62000,0.04381724594245549
62500,0.03379773342574518
63000,0.018805437802515926
63500,-0.0013904801965682549
64000,-0.026284066667467354
64500,0.004882266203146029
65000,0.010020678509022685
65500,-0.03301855446724536
66000,0.03328723419086848
66500,0.035342692606879965
67000,-0.0041633483868637544
67500,-0.024082244696794906
68000,-0.003594472339765385
68500,-0.0012411371144513826
69000,-0.07490400012085653
69500,0.024405930696079332
70000,-0.0063433359636407725
70500,-0.04051490379985747
71000,-0.012839149190788178
71500,-0.018523103192456283
72000,-0.03390675162673756
72500,-0.04804866148682833
73000,-0.007658588753608709
73500,-0.030549852215281163
74000,0.0017499246906696418
74500,-0.00875203073655864
75000,0.03551905771930489
75500,-0.03791501458291278
76000,0.021492182447445007
76500,-0.05966556862252876
77000,-0.02413530377299001
77500,-0.028178550032072956
78000,0.01695052036211607
78500,-0.022791150584956548
79000,-0.007620274031598082
79500,-0.007806666529778168
80000,-0.03657162207586256
80500,-0.01172197755520689
81000,-0.0009852808207040438
81500,0.023716954474224557
82000,-0.015427602350855274
82500,-0.04668948657295352
83000,-0.014536757516913256
83500,-0.00961933811744843
84000,-0.05224542956951369
84500,0.01176094900670408
85000,0.007468934011440438
85500,0.010931519236503014
86000,0.030722089628444908
86500,-4.9456472064001274e-05
87000,-0.0017716178985360208
87500,0.05212610742452867
88000,-0.0444745282235495
88500,-0.01713205627583401
89000,0.0474489815408483
89500,0.006932022300285329
90000,0.029760429758850817
90500,0.03720823095142905
91000,0.02137997612478119
91500,-0.027198100424554412
92000,0.028111900999159008
92500,-0.03193628428584112
93000,-0.0016562643613544296
93500,0.012143839726076263
94000,-0.002431062803302042
94500,0.012102346520397577
95000,0.017956200239202018
95500,-0.060101046838082726
96000,-0.0015044748497842263
96500,0.01614560843466659
97000,0.010046473188506768
97500,-0.010029351591380964
98000,0.032284214649249236
98500,0.00100663078436043
99000,0.05654026648313905
99500,-0.01706892472524955
100000,0.0344644279714692
100500,-0.0029804167319040916
101000,0.016524204052178554
101500,-0.0031371431990047114
102000,0.02359877626389966
102500,0.010673181001802898
103000,-0.008336625456954615
103500,0.006804496036861497
104000,-0.03363538530469956
104500,0.026572623949400978
105000,0.008530907440235661
105500,0.023263008622673383
106000,0.00883938809431012
106500,-0.05765356555549951
107000,-0.00018101847637589104
107500,-0.02010010510815166
108000,-0.028292349988696487
108500,-0.02379581481414381
109000,-0.013181541216866969
109500,-0.055921051233509725
110000,-0.030621198876274475
110500,0.031984540721930854
111000,0.0006247121110506368
111500,-0.008694294629479163
112000,0.002223296017874756
112500,0.022409651086691785
113000,-0.011190913770996751
113500,0.01388401384165723
114000,0.028688618613459976
114500,-0.0180781418204606
115000,0.008355626150849785
115500,-0.006518247404249443
116000,-0.018825924803133835
116500,0.005543341118755261
117000,-0.016059605265184296
117500,-0.04728756977072555
118000,0.023945292292890098
118500,-0.0011122919879926168
119000,0.006486356017911589
119500,0.005081485762651248
120000,-0.01023864751629248
120500,-0.008685644092555221
121000,0.004929558274497139
121500,-0.015492288135213967
122000,0.0025981077372784645
122500,0.011463612107149579
123000,-0.002247229082497456
123500,0.01881628232081007
124000,-0.017915387610494687
124500,0.004208121549319419
125000,0.04739842381965498
125500,-0.03730972495400658
126000,0.014336769418513445
126500,0.001561527132967916
127000,-0.010488103718353566
127500,-0.051267684148549555
128000,-0.01799487303499935
128500,-0.05042846626947064
129000,-0.01578542549663038
129500,-0.0014629717123326822
130000,-0.011012284619423154
130500,0.009664603925644517
131000,0.03477097919448734
131500,0.0648326896740638
132000,-0.008450974399662171
132500,-0.010642868340327722
133000,-0.00454573298622488
133500,-0.002112323586874515
134000,-0.006365109544605286
134500,0.029624380735656566
135000,0.057723133592072574
135500,0.02232683908366643
136000,0.005252872424141934
136500,-0.02353444499626945
137000,-0.020639691636749214
137500,0.006301092931399248
138000,0.01939779783384111
138500,-0.020546349297947793
139000,0.030714122273325324
139500,0.011812491978282076
140000,0.001001094911151053
140500,0.016062925813743016
141000,-0.029191972189999766
141500,-0.03471810576247453
142000,0.017147812721966364
142500,0.029781702692990054
