step,last_coord
0,0.12106722084606386
500,-0.08346834228832946
1000,-0.11534884666347155
1500,0.011780376430199264
2000,0.09607850023729866
2500,-0.061854871366703534
3000,-0.01861949401479345
3500,0.022911052717171514
4000,-0.10828371427301701
4500,0.05215766457898112
5000,0.029461109558260225
5500,0.046899536797136876
6000,0.049904304858305125
6500,-0.12113907206565046
7000,-0.09699016434727052
7500,-0.0026274004499645363
8000,0.0705439391339971
8500,0.05076577806335301
9000,-0.02200846161946448
